Item,Serving Size (g) ,Calories,Total Fat (g) ,Sat. Fat (g) ,Trans Fat (g)* ,Chol. (mg) ,Sodium (mg) ,Carbohydrate(g) ,Dietary Fiber (g) ,Sugars (g) ,Protein(g) ,Vitamin A % DV ,Vitamin C % ,DV Calcium % ,DV Iron % DV
"6"" Artisan Flatbread",78,220,4,1,0,0,360,40,1,2,7,0,0,0,15
"6"" Artisan Italian Bread",65,160,2,1,0,0,350,34,0,2,7,0,8,0,10
"6"" Hearty Multigrain bread",71,190,2,0,0,0,310,36,3,3,7,0,0,0,8
"6"" Italian Herbs & Chgeese",76,200,4,2,0,10,550,36,<1,2,9,4,8,6,10
"6"" Jalepeno Cheddar Bread",76,190,4,2,0,10,470,34,<1,2,9,4,10,6,10
Baja Chipolte Southwest Sauce ,14,70,7,1,0,5,125,1,0,1,0,0,0,0,0
Barbecue Sauce,14,25,0,0,0,0,115,6,0,5,0,0,0,0,0
Franks Red Hot Buffalo Sauce,14,5,0,0,0,0,350,1,0,0,0,6,0,0,0
Ceasar,14,80,9,2,0,5,130,0,0,0,0,0,0,0,0
Creamy Sriracha,14,40,4,1,0,5,240,2,0,1,0,4,2,0,0
Giardiniera,28,80,9,2,0,0,340,1,0,1,0,0,0,0,0
Honey Mustard,14,20,0,0,0,0,80,4,0,4,0,0,0,0,0
Hot Pepper Relish,14,0,0,0,0,0,170,1,0,0,0,0,15,0,0
Lite Mayonnaise,14,50,5,1,0,5,90,1,0,0,0,0,0,0,0
Mayonnaise,14,100,11,2,0,10,65,0,0,0,0,0,0,0,0
Mustard Yellow,14,10,1,0,0,0,170,1,0,0,1,0,0,0,0
MVP Parmesean Vinaigrette,17,70,8,1,0,0,180,1,0,1,0,0,0,0,0
Oil,5,45,5,0,0,0,0,0,0,0,0,0,0,0,0
Oil & Vinegar,9,45,5,0,0,0,0,0,0,0,0,0,0,0,0
Peppercorn Ranch Sauce,14,80,8,2,0,5,100,1,0,1,0,0,0,0,0
Red Wine Vinegar,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet Onion Sauce, Fat Free",18,30,0,0,0,0,75,8,0,7,0,0,0,0,0
Sweet Onion Triyaki Sauce,18,35,0,0,0,0,160,8,0,9,7,0,0,0,0
"Pepper, Black",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0
